Period,Class,Area T1 (ha),Area T2 (ha),Net Change (ha),Change (%),Annual Rate (%/yr)
2013-2016,Dense forest,"740,503","716,327","-24,176",-3.3,-1.106
2013-2016,Secondary forest,"510,560","659,760","149,200",29.2,8.546
2013-2016,Pastures,"1,023,347","917,205","-106,142",-10.4,-3.650
2013-2016,Water,"467,281","463,155","-4,126",-0.9,-0.296
2013-2016,Urban,"385,026","363,228","-21,799",-5.7,-1.943
2013-2016,Mangroves,"78,770","85,812","7,042",8.9,2.854
2016-2020,Dense forest,"720,067","612,898","-107,169",-14.9,-4.029
2016-2020,Secondary forest,"662,283","591,617","-70,666",-10.7,-2.821
2016-2020,Pastures,"941,400","1,082,609","141,209",15.0,3.494
2016-2020,Water,"463,157","464,598","1,440",0.3,0.078
2016-2020,Urban,"366,799","346,061","-20,738",-5.7,-1.455
2016-2020,Mangroves,"85,812","141,736","55,924",65.2,12.545
2020-2024,Dense forest,"612,924","449,476","-163,448",-26.7,-7.754
2020-2024,Secondary forest,"591,618","657,114","65,496",11.1,2.625
2020-2024,Pastures,"1,086,173","1,292,644","206,471",19.0,4.351
2020-2024,Water,"464,598","464,064",-534,-0.1,-0.029
2020-2024,Urban,"346,496","252,432","-94,064",-27.1,-7.918
2020-2024,Mangroves,"141,736","127,815","-13,921",-9.8,-2.584
